userid,vroot
10002,Knowledge Base|/kb
10006,Knowledge Base|/kb
10012,Developer Network|/msdn
10013,Typography Site|/truetype
10014,Spain|/spain
10019,Windows NT Server|/ntserver
10019,Games|/games
10019,Knowledge Base|/kb
10019,MS Store Logo Merchandise|/logostore
10020,Free Downloads|/msdownload
10021,isapi|/isapi
10021,Windows95 Support|/windowssupport
10021,Games|/games
10022,Products |/products
10025,NetMeeting|/netmeeting
10030,Products |/products
10031,Windows95 Support|/windowssupport
10031,IE Support|/iesupport
10031,MS Office|/msoffice
10033,Games|/games
10035,Free Downloads|/msdownload
10035,SiteBuilder Network Membership|/sbnmember
10036,MS Schedule+ News|/scheduleplus
10036,Windows Family of OSs|/windows
10037,Games|/games
10038,Free Downloads|/msdownload
10038,Internet Site Construction for Developers|/sitebuilder
10038,Support Desktop|/support
10039,SP Referral (ART)|/referral
10040,Internet Explorer|/ie
10047,Internet Site Construction for Developers|/sitebuilder
10053,Microsoft.com Search|/search
10062,International IE content|/ie_intl
10065,NetMeeting|/netmeeting
10065,Internet Explorer|/ie
10067,Spain|/spain
10068,MS Office Info|/office
10068,Free Downloads|/msdownload
10071,Free Downloads|/msdownload
10071,Internet Explorer|/ie
10074,Products |/products
10076,Connecting Small Business|/smallbiz
10076,Microsoft.com Search|/search
10077,Internet Explorer|/ie
10079,International IE content|/ie_intl
10080,Internet Explorer|/ie
10084,Free Downloads|/msdownload
10085,Windows CE|/windowsce
10086,Internet Explorer|/ie
10087,Office Free Stuff|/officefreestuff
10088,Free Downloads|/msdownload
10091,Internet Explorer|/ie
10096,Internet Explorer|/ie
10097,Internet Explorer|/ie
10098,Internet Explorer|/ie
10104,Job Openings|/jobs
10115,Internet Explorer|/ie
10116,Internet Explorer|/ie
10117,Free Downloads|/msdownload
10117,Products |/products
10119,Internet Explorer|/ie
10120,Windows95 Support|/windowssupport
10121,Visual InterDev|/vinterdev
10122,Microsoft.com Search|/search
10122,NT Server Support|/ntserversupport
10123,Free Downloads|/msdownload
10125,Free Downloads|/msdownload
10127,MS Access Support|/msaccesssupport
10129,SP Referral (ART)|/referral
10129,Microsoft.com Search|/search
10132,Exchange|/exchange
10132,MS Office Support|/msofficesupport
10132,MS Office Info|/office
10132,Products |/products
10132,Support Desktop|/support
10133,Windows95 Support|/windowssupport
10137,Free Downloads|/msdownload
10141,Internet Service Providers|/isp
10141,Internet Explorer|/ie
10144,Internet Explorer|/ie
10147,Internet Site Construction for Developers|/sitebuilder
10147,Developer Workshop|/workshop
10150,Products |/products
10151,Internet Information Server|/iis
10152,Support Desktop|/support
10154,Corporate Desktop Evaluation|/organizations
10154,Office Free Stuff|/officefreestuff
10156,isapi|/isapi
10156,MS PowerPoint|/mspowerpoint
10156,Games|/games
10161,Free Downloads|/msdownload
10162,MS Office Info|/office
10166,Free Downloads|/msdownload
10166,Internet Information Server|/iis
10166,Developer Workshop|/workshop
10171,Products |/products
10174,Internet Explorer|/ie
10176,Developer Network|/msdn
10176,Microsoft.com Search|/search
10178,isapi|/isapi
10180,MS Access|/access
10180,MS Access News|/msaccess
10183,Free Downloads|/msdownload
10185,Windows 95|/windows95
10186,MS Office Support|/msofficesupport
10186,Support Desktop|/support
10187,Microsoft Press|/mspress
10188,SiteBuilder Network Membership|/sbnmember
10190,Windows95 Support|/windowssupport
10190,Free Downloads|/msdownload
10192,Web Site Builder's Gallery|/gallery
10194,Internet Explorer|/ie
10196,Windows 95|/windows95
10196,MS Word News|/word
10197,France|/france
10198,Czech Republic|/cze
10198,Windows Family of OSs|/windows
10199,Windows95 Support|/windowssupport
10200,Internet Site Construction for Developers|/sitebuilder
10201,Internet Site Construction for Developers|/sitebuilder
10205,MS TeamManager|/teammanager
10205,Exchange|/exchange
10205,TechNet (World Wide Web Edition)|/technet
10205,Microsoft.com Search|/search
10208,Windows Family of OSs|/windows
10208,Visual Source Safe|/ssafe
10208,Free Downloads|/msdownload
10210,Windows Family of OSs|/windows
10213,Visual FoxPro|/vfoxpro
10214,isapi|/isapi
10215,Internet Site Construction for Developers|/sitebuilder
10216,Hungary|/hun
10217,Products |/products
10218,MS Word News|/word
10219,Windows Family of OSs|/windows
10219,Internet Explorer|/ie
10222,Free Downloads|/msdownload
10224,NetMeeting|/netmeeting
10224,Support Network Program Information|/supportnet
10224,isapi|/isapi
10226,Products |/products
10227,Free Downloads|/msdownload
10227,Music Producer|/musicproducer
10228,Products |/products
10228,Microsoft.com Search|/search
10229,Windows Family of OSs|/windows
10229,Brazil|/brasil
10230,N. American Automap|/automap
10231,Free Downloads|/msdownload
10232,Knowledge Base|/kb
10232,Microsoft.com Search|/search
10232,isapi|/isapi
10235,SQL Server|/sql
10235,Internet Security Framework|/security
10237,Support Desktop|/support
10237,Visual Basic Support|/vbasicsupport
10239,Microsoft.com Search|/search
10240,OutLook|/outlook
10242,End User Produced View|/athome
